ativo,conselho,cpf,documento_conselho,email,especialidade,especialidade_id,foto,fornecedor_id,nome,profissional_id,rqe,sexo,sys_user,tratamento,uf_conselho
True,Engenheiro civil,235.618.974-28,BU-5726730,knovaes@hotmail.com,Ginecologia,5,https://dummyimage.com/278x622,e18aefc5-8cf3-453c-9b00-2b8d4212e86f,Larissa da Mota,c63b1235-d179-42bb-9637-3f2de6815018,91881,M,larissada-conceicao,Tratamento B,PE
False,Bioquímico,375.290.846-74,ZO-5388289,alvesalicia@das.net,Ginecologia,5,https://www.lorempixel.com/383/626,951f5fce-2aaf-47a9-938f-cf5079f03c78,Sra. Ana Julia das Neves,811ae08b-9bac-47ae-a8cd-5de8d97d13d6,83880,M,liviacardoso,Tratamento A,PB
True,Flautista,124.968.537-00,vB-0674161,pintoyuri@bol.com.br,Cardiologia,5,https://placekitten.com/118/92,32ab276d-6a42-4748-b4c9-7519f33474de,Kaique Souza,ec76d129-24d8-4da9-a897-036984de2e38,50535,M,davi-lucasnovaes,Tratamento A,SP
False,Economista doméstico,824.967.513-46,xd-0760593,llima@da.com,Ortopedia,1,https://placekitten.com/435/870,143ebb56-f6fc-4d16-8eb2-fed416324447,Ana Laura Campos,aff73785-f4c2-409c-9eb8-970277d1d205,85588,F,waragao,Tratamento A,RR
True,Pianista,358.706.412-17,bu-0547780,nascimentoluiza@nunes.br,Cardiologia,4,https://placeimg.com/315/835/any,d7e366ec-cab9-4026-8dbc-112ad33fe58a,Evelyn Pinto,18b961ad-bbe6-4635-9a09-dcdcbfb0bb91,45303,M,pintomariana,Tratamento A,PR
True,Chaveiro,194.503.267-70,UF-1354957,ynunes@ig.com.br,Pediatria,2,https://dummyimage.com/258x766,b1362562-b020-4e9f-baa7-370d9b5bf128,Davi Mendes,a920000a-defa-462e-bd66-6590bd642c24,56787,M,dcosta,Tratamento B,AP
False,Inspetor,705.649.318-10,nc-8626315,oliveirajoao-miguel@pinto.br,Ginecologia,2,https://dummyimage.com/397x69,6ed5e808-5287-4f96-a712-81f3e90375d3,Rebeca Martins,a9514082-72e0-4254-a599-0a6719729856,79860,M,ana-laurada-mota,Tratamento B,ES
False,Notário,271.306.495-34,MT-7212413,da-luzbruna@farias.br,Dermatologia,2,https://placekitten.com/891/879,f2ee2809-67c4-4835-85e4-189f73f3f1dd,Lívia Jesus,4f4d79b4-35b7-488b-b812-73aca76cd3a2,20397,M,yda-rosa,Tratamento B,AL
True,Engenheiro florestal,573.961.024-99,qe-7214362,rebeca24@hotmail.com,Ortopedia,3,https://dummyimage.com/880x818,67081246-b683-49ca-839c-9175cb36a557,Ana Carolina da Cruz,57196167-0eb6-44d5-89d1-a807f01f7b2a,73035,M,da-pazmilena,Tratamento A,RO
True,Passador,081.345.972-97,bX-8077672,calebefreitas@yahoo.com.br,Ginecologia,3,https://www.lorempixel.com/172/58,88411089-9abf-422d-9465-c1fc9599522c,Benício Porto,64208f4c-b443-4e64-b1e9-c7e65d2f9d69,17072,F,zcardoso,Tratamento B,CE
True,Webdesigner,251.764.983-91,VS-9856986,antoniosales@novaes.br,Ginecologia,4,https://dummyimage.com/952x67,a4872b75-5c44-4ba4-bee5-fb85000aff83,Cecília da Conceição,56daa9be-23b3-419b-9dec-9b56a5290daa,91999,F,gustavocorreia,Tratamento B,SP
False,Pianista,610.354.829-24,Jg-8892198,aragaoraquel@cardoso.com,Ginecologia,4,https://dummyimage.com/227x432,195dbecc-899a-45ff-a374-7f29e66ba2bd,Emanuelly Ramos,96cb189f-8756-44f7-b29d-dd99eafc87ec,80916,F,souzajoao,Tratamento B,AP
False,Administrador,827.960.541-01,WB-4645029,cauasantos@yahoo.com.br,Ortopedia,2,https://www.lorempixel.com/744/14,bc0b503b-168a-4147-8b8c-0df68baf3a33,Cauã da Conceição,3a9eccc7-bd1e-489f-8461-41c375c9f07b,21198,M,grocha,Tratamento B,AC
True,Soldado,154.786.902-01,lB-1604352,osantos@fogaca.br,Dermatologia,2,https://www.lorempixel.com/615/138,16b149e5-91e4-4b98-90af-23b263ae4f00,Dr. Pedro Miguel Souza,4208ad64-a429-435e-8320-fd2cf0a9b7de,49640,F,ncostela,Tratamento B,RN
True,Camelô,056.439.821-70,AL-7285511,yrodrigues@costela.com,Dermatologia,3,https://www.lorempixel.com/353/658,6fd71c89-2699-498f-9563-99ca754517ab,Luana Barros,6c93b844-ee07-4d07-8451-f589b6f1f54c,48900,F,fda-conceicao,Tratamento C,AP
True,Construtor,185.469.207-02,dZ-0493591,vianaemilly@da.br,Ginecologia,2,https://dummyimage.com/760x460,83819d87-a1e6-4294-a6cd-2b96e351ad57,Isaac da Rosa,256baac6-b416-4204-a740-3b6108450aae,53147,F,piresluana,Tratamento B,AC
False,Engenheiro naval,129.678.045-76,kp-3668088,leticiacorreia@carvalho.com,Ortopedia,4,https://www.lorempixel.com/5/51,06d7777a-bb5b-4a4d-8c50-4848aa711bd5,Stephany Lopes,0a60a67f-425b-4528-a719-97b6ecbc96fb,12402,M,caiojesus,Tratamento A,ES
False,Administrador de banco de dados DBA,340.529.178-04,kM-5168110,alice51@yahoo.com.br,Dermatologia,5,https://placeimg.com/829/879/any,3ab70d90-60fe-4c54-8ac6-16c46a034456,Dr. Daniel Caldeira,3bb737b5-0d43-4f03-a1e5-3d206c3778f2,36432,F,kamillyporto,Tratamento A,SE
True,Diretor de fotografia,620.837.149-03,Io-2447464,danielaraujo@yahoo.com.br,Ginecologia,5,https://www.lorempixel.com/435/491,532e14cd-29fa-4942-9063-6976438c3a94,Joana Correia,7ee6db90-d6c4-4255-a8ab-b03eec41c9f7,52749,F,bmoreira,Tratamento B,RO
